ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
170.0,LA,101.0,InVal-5,,11.0,,12.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,,,X,,X,25.0,50.0
171.0,LA,101.0,InVal-5,,12.0,,13.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
172.0,LA,101.0,InVal-5,,13.0,,14.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
173.0,LA,101.0,InVal-5,,14.0,,15.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
174.0,LA,101.0,InVal-5,,15.0,,16.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
175.0,LA,101.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
179.0,LA,101.0,InVal-5,,21.0,,22.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
180.0,LA,101.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
181.0,LA,101.0,InVal-5,,23.0,,24.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
186.0,LA,101.0,InVal-5,,28.0,,29.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
187.0,LA,101.0,InVal-5,,29.0,,30.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
189.0,LA,101.0,InVal-5,,30.0,,31.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
190.0,LA,101.0,InVal-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
193.0,LA,101.0,InVal-5,,34.0,,35.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
194.0,LA,101.0,InVal-5,,35.0,,36.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
195.0,LA,101.0,InVal-5,,36.0,,37.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
196.0,LA,101.0,InVal-5,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
199.0,LA,105.0,SoCst-5,R,6.0,R,7.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
200.0,LA,105.0,SoCst-5,,7.0,,8.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
201.0,LA,105.0,SoCst-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
202.0,LA,105.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,X,X,,,,,75.0,75.0
203.0,LA,105.0,SoCst-5,,10.0,,11.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
204.0,LA,105.0,SoCst-5,,11.0,,12.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,X,50.0,50.0
205.0,LA,105.0,SoCst-5,,12.0,,13.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
206.0,LA,105.0,SoCst-5,,13.0,,14.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
207.0,LA,105.0,SoCst-5,,14.0,,15.0,,FY23/Q3,,,1.0,,1,1.0,,,,,50.0,,X,,,X,,,X,,X,25.0,38.0
208.0,LA,110.0,SoCst-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
209.0,LA,110.0,SoCst-5,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
210.0,LA,110.0,SoCst-5,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
211.0,LA,110.0,SoCst-5, ,14.0, ,15.0,,FY23/Q3,,1,,,1,,1,,,,50.0,X,,,,,,X,,,,75.0,63.0
212.0,LA,110.0,SoCst-5,,15.0,,16.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,,X,,,X,50.0,63.0
213.0,LA,110.0,SoCst-5,,16.0,,17.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
214.0,LA,110.0,SoCst-5,,17.0,,18.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
215.0,LA,110.0,SoCst-5,,18.0,,19.0,,FY23/Q3,,1,,,,,1,,,1,50.0,X,,,,,X,,,,,100.0,75.0
216.0,LA,110.0,SoCst-5,,19.0,,20.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
217.0,LA,110.0,SoCst-5,,20.0,,21.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
218.0,LA,110.0,SoCst-5,,21.0,,22.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
219.0,LA,110.0,SoCst-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,,X,,X,X,,,,,50.0,75.0
220.0,LA,110.0,SoCst-5,,23.0,,24.0,,FY23/Q3,1,,,,,,1,,,1,75.0,,,X,,X,X,,,,,50.0,63.0
221.0,LA,110.0,SoCst-5,,24.0,,25.0,,FY23/Q3,,1,,,,,,1.0,,1,25.0,,,X,,X,,X,,,X,25.0,25.0
222.0,LA,110.0,SoCst-5,,25.0,,26.0,,FY23/Q3,,1,,,,,1,,,,50.0,,,X,,X,,X,,,X,25.0,38.0
223.0,LA,110.0,SoCst-5,,26.0,,27.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
224.0,LA,110.0,SoCst-5,,27.0,,28.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
225.0,LA,110.0,SoCst-5,,28.0,,29.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
226.0,LA,110.0,SoCst-5,,29.0,,30.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
227.0,LA,110.0,SoCst-5,,30.0,,31.0,,FY23/Q3,1,,,,,,1,,,1,75.0,X,,,,,X,,,,,100.0,88.0
228.0,LA,110.0,SoCst-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
229.0,LA,118.0,InVal-5,R,0.0,,1.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
230.0,LA,118.0,InVal-5,,1.0,,2.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
231.0,LA,118.0,InVal-5,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
232.0,LA,118.0,InVal-5,,3.0,,4.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
233.0,LA,118.0,InVal-5,,4.0,,5.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
234.0,LA,118.0,InVal-5,,5.0,,6.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
235.0,LA,118.0,InVal-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
236.0,LA,118.0,InVal-5,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
237.0,LA,118.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
238.0,LA,118.0,InVal-5,,9.0,,10.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,,X,,,,50.0,63.0
239.0,LA,118.0,InVal-5,,10.0,,11.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,,X,,,,,X,,,,50.0,38.0
240.0,LA,118.0,InVal-5,,11.0,,12.0,,FY23/Q3,,1,,,1,,1,,,,50.0,,X,,,X,,X,,,X,50.0,50.0
241.0,LA,118.0,InVal-5,,12.0,,13.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,X,,X,,,,50.0,38.0
242.0,LA,118.0,InVal-5,,13.0,R,14.0,,FY23/Q3,,1,,, 1,1.0,,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
243.0,LA,134.0,InVal-5,,0.0,,1.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
244.0,LA,134.0,InVal-5,,1.0,,2.0,,FY23/Q3,1,,,,,,,1.0,,,50.0,X,,,,,,X,,,,75.0,63.0
245.0,LA,134.0,InVal-5,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
246.0,LA,134.0,InVal-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
247.0,LA,134.0,InVal-5,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
248.0,LA,134.0,InVal-5,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
249.0,LA,134.0,InVal-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
250.0,LA,134.0,InVal-5,,7.0,,8.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
251.0,LA,134.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
252.0,LA,134.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
253.0,LA,134.0,InVal-5,,10.0,,11.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
254.0,LA,134.0,InVal-5,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
256.0,LA,164.0,InVal-4,,2.0,,3.0,,FY23/Q3,1,,,,,,1,,,1,75.0,X,,,,,X,,,,,100.0,88.0
257.0,LA,164.0,InVal-4,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
258.0,LA,170.0,InVal-5,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
259.0,LA,170.0,InVal-5,R,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
260.0,LA,170.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
261.0,LA,170.0,InVal-5,,17.0,,18.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,x,,,X,,X,,,,50.0,63.0
262.0,LA,170.0,InVal-5,,18.0,,19.0,,FY23/Q3,,,1.0,,UNSHELT,1.0,,,,,50.0,,X,,,X,,X,,,X,50.0,50.0
263.0,LA,170.0,InVal-5,,19.0,R,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
274.0,LA,210.0,InVal-5,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
275.0,LA,210.0,InVal-5,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
276.0,LA,210.0,InVal-5,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
277.0,LA,210.0,InVal-5,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
278.0,LA,210.0,InVal-5,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
279.0,LA,210.0,InVal-5,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
280.0,LA,210.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
281.0,LA,210.0,InVal-5,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
282.0,LA,210.0,InVal-5,,18.0,,19.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
283.0,LA,210.0,InVal-5,,19.0,,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
284.0,LA,210.0,InVal-5,,20.0,,21.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,x,,,,,X,,,,,100.0,100.0
285.0,LA,210.0,InVal-5,,21.0,,22.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
286.0,LA,210.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
287.0,LA,210.0,InVal-5,,23.0,,24.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
288.0,LA,210.0,InVal-5,,24.0,,25.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
289.0,LA,210.0,InVal-5,,25.0,,26.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
290.0,LA,210.0,InVal-5,,26.0,,27.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
291.0,LA,210.0,InVal-5,,27.0,,28.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
292.0,LA,210.0,InVal-5,,28.0,,29.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
293.0,LA,210.0,InVal-5,,29.0,R,30.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
294.0,LA,210.0,InVal-5,R,30.0,R,31.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
295.0,LA,210.0,InVal-5,,31.0,,32.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
296.0,LA,210.0,InVal-5,,32.0,,33.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
297.0,LA,210.0,InVal-5,,33.0,,34.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,X,75.0,88.0
298.0,LA,210.0,InVal-5,,34.0,,35.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
299.0,LA,210.0,InVal-5,,35.0,R,36.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
300.0,LA,405.0,SoCst-5,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
301.0,LA,405.0,SoCst-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
302.0,LA,405.0,SoCst-5,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
304.0,LA,405.0,SoCst-5,,22.0,,23.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,X,,,X,,X,,,X,50.0,50.0
305.0,LA,405.0,SoCst-5,,23.0,,24.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,X,,,X,,X,,,X,50.0,50.0
306.0,LA,405.0,SoCst-5,,24.0,,25.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,,X,,,,50.0,63.0
307.0,LA,405.0,SoCst-5,,25.0,,26.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,X,,,,,,X,,,,75.0,50.0
308.0,LA,405.0,SoCst-5,,26.0,,27.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,,X,,,,75.0,75.0
309.0,LA,405.0,SoCst-5,,27.0,,28.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
310.0,LA,405.0,SoCst-5,,28.0,,29.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
311.0,LA,405.0,SoCst-5,,29.0,,30.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
312.0,LA,405.0,SoCst-5,,30.0,,31.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
313.0,LA,405.0,SoCst-5,,31.0,,32.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
314.0,LA,405.0,SoCst-5,,32.0,,33.0,,FY23/Q3,,1,,,,,1,,,UNSHELTERED,50.0,X,,,,,X,,,,,100.0,75.0
315.0,LA,405.0,SoCst-5,,33.0,,34.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
316.0,LA,405.0,SoCst-5,,34.0,,35.0,,FY23/Q3,,,1.0,,,1.0,,,,,50.0,X,,,,,X,,,,,100.0,75.0
317.0,LA,405.0,SoCst-5,,35.0,,36.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
318.0,LA,405.0,SoCst-5,,36.0,,37.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
319.0,LA,405.0,SoCst-5,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
320.0,LA,405.0,SoCst-5,,38.0,,39.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
321.0,LA,405.0,SoCst-5,,39.0,,40.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
322.0,LA,405.0,SoCst-5,,40.0,,41.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
323.0,LA,405.0,SoCst-5,,41.0,,42.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
324.0,LA,405.0,SoCst-5,,42.0,,43.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
325.0,LA,405.0,SoCst-5,,43.0,,44.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
326.0,LA,405.0,SoCst-5,,44.0,,45.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
327.0,LA,405.0,SoCst-5,,45.0,,46.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
328.0,LA,405.0,SoCst-5,,46.0,,47.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
329.0,LA,405.0,SoCst-5,,47.0,,48.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,X,75.0,88.0
330.0,LA,710.0,SoCst-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,x,,,X,X,,,,,75.0,88.0
331.0,LA,710.0,SoCst-5,,7.0,,8.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
332.0,LA,710.0,SoCst-5,,8.0,,9.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
333.0,LA,710.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
334.0,LA,710.0,SoCst-5,,10.0,,11.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
335.0,LA,710.0,SoCst-5,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
336.0,LA,710.0,SoCst-5,,12.0,,13.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,X,,,X,75.0,63.0
337.0,LA,710.0,SoCst-5,,13.0,,14.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
338.0,LA,710.0,SoCst-5,,14.0,,15.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
339.0,LA,710.0,SoCst-5,,15.0,,16.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
340.0,LA,710.0,SoCst-5,,16.0,,17.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
341.0,LA,710.0,SoCst-5,,18.0,,19.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
342.0,LA,710.0,SoCst-5,,19.0,,20.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
343.0,LA,710.0,SoCst-5,,20.0,,21.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,X,,X,,,,50.0,50.0
344.0,LA,710.0,SoCst-5,,24.0,,25.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,,X,,,50.0,75.0
345.0,LA,710.0,SoCst-5,,25.0,,26.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
346.0,VEN,1.0,SoCst-3,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
347.0,VEN,1.0,SoCst-3,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
348.0,VEN,1.0,SoCst-3,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
349.0,VEN,1.0,SoCst-3,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
350.0,VEN,33.0,SoCst-3,,0.0,,1.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
351.0,VEN,33.0,SoCst-3,,1.0,,2.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
352.0,VEN,33.0,SoCst-3,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
353.0,VEN,33.0,SoCst-3,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
354.0,VEN,33.0,SoCst-3,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
355.0,VEN,33.0,SoCst-3,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
356.0,VEN,33.0,SoCst-3,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
358.0,VEN,33.0,SoCst-3,,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
359.0,VEN,33.0,SoCst-3,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
362.0,VEN,101.0,SoCst-5,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
363.0,VEN,101.0,SoCst-5,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
364.0,VEN,101.0,SoCst-5,,16.0,,17.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
365.0,VEN,101.0,SoCst-5,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
366.0,VEN,101.0,SoCst-5,,18.0,,19.0,,FY23/Q3,1,,,,,,,1.0,,,50.0,X,,,,,,X,,,,75.0,63.0
367.0,VEN,101.0,SoCst-5,,19.0,,20.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
368.0,VEN,101.0,SoCst-5,,30.0,,31.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
369.0,VEN,101.0,SoCst-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
370.0,VEN,118.0,SoCst-4,,2.0,,3.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
371.0,VEN,118.0,SoCst-4,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
372.0,VEN,118.0,SoCst-4,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
373.0,VEN,118.0,SoCst-4,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
374.0,VEN,118.0,SoCst-4,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
375.0,VEN,118.0,SoCst-4,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
376.0,VEN,118.0,SoCst-4,,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
377.0,VEN,118.0,SoCst-4,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
